date,region,category,product,channel,revenue,quantity,customer_id
2025-01-01,西安,家居,茶几,私域,5000.00,9,C0366
2025-01-02,广州,服装,毛衣,私域,1559.77,4,C0284
2025-01-04,上海,家居,沙发,线上,1357.59,1,C0441
2025-01-06,广州,美妆,洁面乳,直播,2337.89,4,C0452
2025-01-10,深圳,食品,饼干礼盒,私域,1046.62,4,C0182
2025-01-13,广州,食品,坚果礼盒,线上,5000.00,6,C0099
2025-01-14,上海,食品,茶叶礼盒,私域,3424.97,8,C0227
2025-01-16,武汉,美妆,口红套装,线上,5000.00,9,C0475
2025-01-17,杭州,家居,床垫,私域,5000.00,4,C0085
2025-01-17,广州,食品,红酒,私域,5000.00,9,C0098
2025-01-23,上海,电子产品,移动电源,线上,531.78,1,C0471
2025-01-24,武汉,家居,沙发,线上,5000.00,2,C0121
2025-01-25,广州,美妆,洁面乳,线上,4615.44,7,C0162
2025-01-29,西安,家居,衣柜,线下,5000.00,3,C0162
2025-01-30,西安,电子产品,智能手机,私域,5000.00,10,C0110
2025-02-02,深圳,家居,衣柜,线上,5000.00,6,C0279
2025-02-03,杭州,美妆,化妆水,线上,3444.01,9,C0481
2025-02-05,武汉,服装,牛仔裤,线上,2999.43,3,C0368
2025-02-05,广州,服装,运动套装,私域,490.54,1,C0142
2025-02-06,北京,服装,羊毛衫,直播,5000.00,8,C0005
2025-02-10,北京,家居,餐桌椅套装,线上,5000.00,10,C0022
2025-02-10,广州,电子产品,无线鼠标,线下,5000.00,2,C0448
2025-02-10,广州,美妆,面膜套装,线下,2396.85,3,C0378
2025-02-13,西安,食品,饼干礼盒,直播,1009.77,2,C0241
2025-02-14,上海,食品,咖啡豆,直播,1708.34,4,C0205
2025-02-16,广州,电子产品,机械键盘,直播,5000.00,7,C0170
2025-02-17,西安,电子产品,机械键盘,线下,2205.57,5,C0177
2025-02-17,杭州,服装,皮衣,线上,5000.00,10,C0224
2025-02-19,北京,美妆,洁面乳,直播,3722.97,6,C0064
2025-02-21,杭州,服装,运动套装,直播,5000.00,6,C0066
2025-02-22,上海,食品,茶叶礼盒,直播,457.97,1,C0403
2025-02-22,成都,服装,毛衣,私域,5000.00,4,C0492
2025-02-24,杭州,家居,餐桌,直播,5000.00,10,C0385
2025-02-26,上海,服装,连衣裙,线下,817.67,1,C0436
2025-02-27,杭州,食品,海鲜礼盒,线下,4978.96,7,C0336
2025-02-27,杭州,电子产品,笔记本电脑,线下,5000.00,9,C0470
2025-02-27,武汉,食品,茶叶礼盒,私域,5000.00,9,C0457
2025-02-28,深圳,美妆,眼霜,私域,4270.06,8,C0431
2025-03-05,成都,美妆,粉底液,线下,1251.82,2,C0172
2025-03-06,广州,美妆,口红套装,线下,4518.08,7,C0033
2025-03-07,广州,服装,运动套装,私域,5000.00,4,C0395
2025-03-12,成都,电子产品,移动电源,私域,5000.00,6,C0457
2025-03-13,西安,食品,零食大礼包,线下,2970.74,5,C0173
2025-03-13,成都,食品,茶叶礼盒,私域,5000.00,10,C0304
2025-03-15,深圳,电子产品,无线耳机,私域,5000.00,8,C0168
2025-03-20,上海,服装,运动鞋,私域,5000.00,7,C0010
2025-03-20,杭州,电子产品,无线鼠标,线下,5000.00,1,C0103
2025-03-21,武汉,美妆,面膜套装,线下,1007.45,2,C0359
2025-03-22,上海,服装,羊毛衫,线上,5000.00,3,C0014
2025-03-23,西安,美妆,眼霜,私域,841.96,4,C0322
2025-03-23,上海,服装,风衣,线上,5000.00,10,C0220
2025-03-24,成都,电子产品,智能音箱,直播,5000.00,7,C0492
2025-03-25,广州,食品,茶叶礼盒,私域,5000.00,9,C0414
2025-03-25,西安,食品,牛奶礼盒,私域,5000.00,10,C0426
2025-03-29,西安,服装,毛衣,线下,5000.00,10,C0015
2025-04-02,深圳,服装,羊毛衫,私域,5000.00,5,C0360
2025-04-09,武汉,美妆,精华液,线下,3426.12,7,C0354
2025-04-12,深圳,食品,牛奶礼盒,线上,2156.73,4,C0340
2025-04-12,成都,食品,零食大礼包,直播,4774.65,9,C0139
2025-04-18,广州,家居,餐桌,线下,5000.00,9,C0099
2025-04-19,上海,食品,红酒,直播,2040.22,4,C0155
2025-04-19,北京,美妆,面膜套装,直播,528.42,1,C0065
2025-04-21,成都,食品,进口巧克力,线上,5000.00,8,C0495
2025-04-22,北京,食品,进口巧克力,线上,1641.48,2,C0078
2025-04-23,上海,美妆,面霜,线上,1207.85,2,C0306
2025-04-23,杭州,家居,餐桌椅套装,私域,5000.00,8,C0220
2025-04-23,广州,美妆,精华液,线上,2554.30,4,C0042
2025-04-25,上海,家居,餐桌椅套装,线上,5000.00,7,C0150
2025-04-27,北京,服装,衬衫,私域,5000.00,4,C0321
2025-04-28,成都,家居,书桌,线上,5000.00,3,C0037
2025-04-30,北京,服装,风衣,直播,5000.00,8,C0483
2025-04-30,上海,美妆,粉底液,私域,784.37,1,C0310
2025-05-03,上海,电子产品,平板电脑,线上,5000.00,5,C0090
2025-05-04,深圳,食品,红酒,线下,5000.00,7,C0047
2025-05-06,深圳,食品,咖啡豆,直播,1657.19,3,C0148
2025-05-06,成都,食品,零食大礼包,线上,2389.10,6,C0396
2025-05-07,广州,美妆,精华液,私域,2132.67,4,C0256
2025-05-09,成都,电子产品,平板电脑,直播,5000.00,5,C0063
2025-05-15,北京,美妆,洁面乳,线下,502.62,1,C0431
2025-05-15,西安,食品,进口巧克力,线下,3519.00,5,C0428
2025-05-16,深圳,食品,饼干礼盒,私域,2550.14,7,C0383
2025-05-16,武汉,电子产品,机械键盘,私域,5000.00,9,C0372
2025-05-17,上海,美妆,防晒霜,私域,4547.12,8,C0283
2025-05-17,杭州,食品,牛奶礼盒,直播,3288.45,4,C0398
2025-05-18,广州,服装,毛衣,私域,3976.56,3,C0258
2025-05-19,西安,服装,牛仔裤,私域,2377.55,8,C0446
2025-05-21,成都,家居,餐桌,私域,5000.00,5,C0333
2025-05-23,北京,服装,运动套装,私域,5000.00,8,C0036
2025-05-23,上海,服装,连衣裙,线上,4253.48,2,C0052
2025-05-23,深圳,服装,羽绒服,线上,939.68,1,C0075
2025-05-29,上海,食品,进口水果,线下,1566.86,2,C0350
2025-05-31,上海,美妆,面膜套装,线下,2476.21,5,C0461
2025-05-31,武汉,服装,运动套装,线下,5000.00,6,C0493
2025-06-02,广州,服装,毛衣,直播,5000.00,7,C0196
2025-06-07,深圳,美妆,面霜,直播,1992.20,7,C0352
2025-06-11,杭州,电子产品,移动电源,私域,5000.00,5,C0411
2025-06-11,广州,家居,鞋柜,直播,5000.00,3,C0331
2025-06-15,北京,食品,坚果礼盒,直播,2226.22,2,C0213
2025-06-16,上海,家居,餐桌椅套装,直播,5000.00,5,C0423
2025-06-22,西安,服装,运动鞋,线上,1231.37,2,C0441
2025-06-24,成都,食品,零食大礼包,直播,861.95,7,C0233
2025-06-24,广州,服装,风衣,私域,3098.88,6,C0013
2025-06-26,成都,美妆,卸妆水,线下,5000.00,8,C0210
2025-07-01,北京,电子产品,智能手机,直播,1780.38,2,C0070
2025-07-03,广州,服装,运动套装,私域,5000.00,3,C0427
2025-07-05,深圳,食品,红酒,线上,2647.29,4,C0438
2025-07-05,广州,服装,运动套装,直播,2912.84,5,C0435
2025-07-05,武汉,电子产品,平板电脑,线上,5000.00,6,C0290
2025-07-06,上海,美妆,洁面乳,线下,1400.14,4,C0462
2025-07-09,成都,服装,羊毛衫,线下,1635.38,3,C0068
2025-07-11,北京,家居,鞋柜,直播,1864.63,5,C0270
2025-07-13,北京,电子产品,蓝牙音箱,私域,5000.00,9,C0114
2025-07-14,西安,电子产品,智能音箱,直播,525.66,1,C0206
2025-07-14,广州,电子产品,蓝牙音箱,私域,3769.41,2,C0065
2025-07-14,上海,美妆,化妆水,直播,4760.77,10,C0310
2025-07-15,广州,电子产品,智能音箱,线下,5000.00,4,C0205
2025-07-17,广州,电子产品,无线鼠标,私域,5000.00,5,C0473
2025-07-22,深圳,电子产品,无线耳机,线上,5000.00,6,C0301
2025-07-24,西安,美妆,卸妆水,线上,5000.00,7,C0496
2025-07-25,上海,服装,运动鞋,线上,2453.71,4,C0434
2025-08-03,北京,美妆,卸妆水,线上,2886.03,10,C0288
2025-08-05,西安,美妆,防晒霜,线上,682.83,5,C0391
2025-08-05,广州,服装,运动鞋,线上,4094.14,3,C0073
2025-08-05,杭州,电子产品,无线耳机,线下,5000.00,8,C0370
2025-08-08,广州,美妆,防晒霜,线上,754.00,3,C0346
2025-08-11,北京,食品,海鲜礼盒,私域,3063.88,7,C0059
2025-08-18,广州,电子产品,机械键盘,私域,2146.76,5,C0307
2025-08-21,北京,家居,茶几,线下,5000.00,5,C0255
2025-08-21,杭州,家居,床垫,私域,5000.00,4,C0413
2025-08-23,广州,食品,坚果礼盒,私域,1909.19,2,C0294
2025-08-24,广州,食品,红酒,线上,1911.79,6,C0236
2025-08-25,武汉,服装,牛仔裤,私域,5000.00,4,C0041
2025-08-28,广州,服装,运动鞋,线下,1300.75,3,C0272
2025-09-01,深圳,服装,运动鞋,线下,2443.26,3,C0079
2025-09-06,杭州,电子产品,智能手表,私域,5000.00,10,C0474
2025-09-08,武汉,美妆,卸妆水,直播,942.83,2,C0408
2025-09-10,上海,电子产品,无线鼠标,线上,3201.71,8,C0147
2025-09-13,北京,电子产品,移动电源,私域,5000.00,9,C0022
2025-09-14,深圳,美妆,洁面乳,直播,2103.64,9,C0053
2025-09-16,武汉,服装,牛仔裤,线下,5000.00,8,C0313
2025-09-17,上海,服装,衬衫,私域,5000.00,6,C0324
2025-09-17,成都,电子产品,无线鼠标,线上,5000.00,7,C0337
2025-09-18,西安,美妆,面膜套装,直播,2254.35,3,C0336
2025-09-28,杭州,食品,茶叶礼盒,线上,5000.00,7,C0066
2025-09-29,成都,美妆,口红套装,私域,389.95,1,C0110
2025-09-30,广州,食品,饼干礼盒,线下,764.77,3,C0052
2025-10-01,深圳,美妆,化妆水,线上,2336.32,10,C0084
2025-10-02,上海,美妆,面膜套装,私域,3441.45,6,C0228
2025-10-02,成都,食品,饼干礼盒,线下,5000.00,8,C0348
2025-10-03,西安,食品,牛奶礼盒,直播,5000.00,9,C0419
2025-10-04,上海,美妆,面膜套装,直播,5000.00,8,C0053
2025-10-07,杭州,美妆,口红套装,直播,1008.31,3,C0076
2025-10-07,武汉,电子产品,平板电脑,私域,3207.81,1,C0192
2025-10-10,上海,电子产品,无线鼠标,线下,5000.00,2,C0406
2025-10-11,上海,电子产品,机械键盘,私域,5000.00,3,C0316
2025-10-13,北京,电子产品,智能手机,直播,5000.00,3,C0271
2025-10-15,广州,服装,连衣裙,直播,5000.00,4,C0235
2025-10-15,北京,食品,进口水果,线上,4011.66,10,C0220
2025-10-18,北京,服装,连衣裙,私域,2819.54,2,C0489
2025-10-18,深圳,美妆,化妆水,线上,1261.55,8,C0192
2025-10-23,上海,电子产品,无线鼠标,线上,5000.00,2,C0171
2025-10-26,北京,服装,运动套装,直播,5000.00,3,C0357
2025-10-27,深圳,家居,床垫,线上,2912.05,8,C0406
2025-10-29,上海,电子产品,无线鼠标,直播,5000.00,9,C0332
2025-10-30,上海,服装,羽绒服,直播,5000.00,6,C0226
2025-11-02,武汉,食品,咖啡豆,线下,5000.00,8,C0137
2025-11-02,杭州,食品,进口巧克力,私域,3035.33,3,C0041
2025-11-03,广州,服装,衬衫,私域,5000.00,7,C0229
2025-11-05,北京,服装,风衣,私域,616.47,1,C0187
2025-11-06,深圳,家居,沙发,线下,3766.48,8,C0399
2025-11-08,成都,服装,皮衣,线上,5000.00,8,C0391
2025-11-08,北京,家居,餐桌椅套装,直播,5000.00,5,C0377
2025-11-13,上海,美妆,眼霜,线上,4031.86,5,C0314
2025-11-17,上海,食品,饼干礼盒,线上,1722.70,2,C0228
2025-11-18,西安,服装,运动鞋,线上,5000.00,5,C0365
2025-11-18,杭州,家居,衣柜,线下,5000.00,4,C0253
2025-11-22,北京,美妆,防晒霜,直播,2886.52,9,C0034
2025-11-22,广州,食品,零食大礼包,私域,3255.38,10,C0329
2025-11-24,北京,食品,零食大礼包,直播,5000.00,9,C0495
2025-11-24,北京,美妆,精华液,线上,1654.97,5,C0364
2025-11-24,上海,美妆,面霜,线上,3931.45,9,C0315
2025-11-25,深圳,美妆,面膜套装,线下,5000.00,10,C0432
2025-11-26,西安,电子产品,智能手机,线上,5000.00,10,C0293
2025-11-28,广州,电子产品,蓝牙音箱,直播,5000.00,5,C0351
2025-11-29,广州,食品,进口巧克力,线上,5000.00,7,C0311
2025-12-02,北京,服装,运动鞋,私域,5000.00,6,C0124
2025-12-04,深圳,服装,毛衣,线下,1177.44,1,C0316
2025-12-05,广州,家居,衣柜,直播,5000.00,3,C0256
2025-12-10,武汉,食品,坚果礼盒,线上,5000.00,9,C0299
2025-12-13,广州,电子产品,机械键盘,私域,5000.00,8,C0056
2025-12-15,广州,服装,运动鞋,私域,3841.56,7,C0186
2025-12-15,深圳,电子产品,笔记本电脑,私域,5000.00,5,C0313
2025-12-16,北京,电子产品,笔记本电脑,直播,5000.00,6,C0074
2025-12-16,上海,美妆,眼霜,线上,2563.94,3,C0266
2025-12-17,深圳,美妆,化妆水,线下,4703.96,10,C0316
2025-12-19,杭州,服装,风衣,直播,5000.00,9,C0154
2025-12-24,深圳,电子产品,无线鼠标,直播,5000.00,7,C0372
2025-12-26,武汉,电子产品,移动电源,私域,5000.00,10,C0299
2025-12-26,深圳,美妆,防晒霜,私域,810.97,4,C0057
2025-12-27,上海,食品,咖啡豆,私域,3141.03,4,C0472
